title,Fdc1 @ 350 K,,,,,,,
plot_type,multi-line,,,,,,,
x_label,Time (ns),,,,,,,
y_label,Secondary structure (%),,,,,,,
x_unit,ns,,,,,,,
y_unit,%,,,,,,,
color,#000000,#FD5200,#0000FF,#FF8000,#68D2FB,#000080,#009F00,#800080
label,None,Parallel Beta-sheet,Anti Beta-sheet,3-10 helix,Alpha helix,Pi(3-14) helix,Turn,Bend
axis_x,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y,axis_y
0.284,0.23866,0.05819,0.13905,0.03254,0.23274,0.00493,0.14497,0.15286
0.286,0.25937,0.05819,0.12722,0.03649,0.23176,0,0.13708,0.15385
0.288,0.23866,0.05819,0.143,0.03748,0.22288,0.00493,0.14201,0.1568
0.29,0.23866,0.06607,0.13807,0.03748,0.23176,0,0.14398,0.14793
0.292,0.25247,0.0572,0.13116,0.04241,0.22978,0.00493,0.13116,0.15483
0.294,0.24556,0.06213,0.14004,0.02761,0.23373,0,0.14103,0.15385
0.296,0.24852,0.05819,0.13905,0.02663,0.23373,0,0.15286,0.14497
0.298,0.25049,0.06114,0.13807,0.04142,0.23274,0,0.13905,0.14103
0.3,0.23471,0.06312,0.14398,0.02367,0.21795,0.00493,0.16174,0.15385
0.302,0.24852,0.06016,0.13708,0.02268,0.22682,0.00493,0.14596,0.15779
0.304,0.24655,0.06312,0.13215,0.0286,0.23373,0.00493,0.14201,0.15286
0.306,0.25444,0.05917,0.13314,0.01874,0.22978,0.00493,0.14398,0.15976
0.308,0.24458,0.06509,0.13609,0.04043,0.23669,0.00493,0.12229,0.15385
0.31,0.23964,0.06016,0.13314,0.01874,0.22682,0.00493,0.1568,0.16371
0.312,0.24852,0.06114,0.13116,0.02465,0.21992,0,0.15878,0.15976
0.314,0.23866,0.06213,0.13807,0.0217,0.2288,0,0.14793,0.16667
0.316,0.24063,0.05917,0.14004,0.03846,0.22584,0,0.14694,0.15286
0.318,0.24359,0.06016,0.13511,0.0286,0.2288,0,0.15483,0.15286
0.32,0.25937,0.05424,0.13609,0.04536,0.2288,0.00493,0.12722,0.14793
0.322,0.25049,0.05424,0.13905,0.04043,0.22978,0,0.13116,0.15878
0.324,0.23767,0.0641,0.13905,0.0355,0.23176,0,0.12821,0.16765
0.326,0.23373,0.06706,0.13511,0.0355,0.21893,0,0.15976,0.15385
0.328,0.24852,0.05424,0.13609,0.02959,0.22091,0.00493,0.14892,0.16075
0.33,0.24951,0.0572,0.13807,0.03156,0.214,0.00493,0.15582,0.15286
0.332,0.23274,0.06706,0.14004,0.0355,0.21795,0,0.14793,0.16272
0.334,0.22978,0.0641,0.14201,0.02959,0.2288,0,0.14793,0.16174
0.336,0.24458,0.06312,0.13412,0.0355,0.21598,0,0.16568,0.14497
0.338,0.23373,0.06016,0.14201,0.04142,0.22387,0.00493,0.14892,0.14892
0.34,0.23471,0.06114,0.14004,0.03353,0.21105,0.00592,0.1568,0.16075
0.342,0.2426,0.0641,0.13314,0.04043,0.21302,0.00493,0.15976,0.14596
