title,t-SNE
plot_type,scatter
x_label,Component 1
y_label,Component 2
color,#1abc9c
axis_x,axis_y
-32.0243,2.3096
-51.579,0.8023
-51.3447,1.0804
-45.8805,-16.9357
-48.9301,-7.795
-18.1616,27.539
7.0903,38.754
-13.5217,19.9952
-37.4258,-11.2172
-27.7844,2.209
-3.5367,-18.5445
7.464,-32.4471
7.4338,-32.1727
-1.5021,-19.947
-27.5275,-20.4032
-34.3884,-20.9629
-32.0107,-6.65
-40.7013,-10.5369
-37.228,-25.145
-34.6943,-21.8708
-38.6699,-32.7031
-37.1826,-35.5765
-36.9674,-35.3588
-31.9854,-28.4897
-31.1443,-31.6035
-26.8833,-22.8368
39.6866,-37.2705
39.8751,19.9944
40.3845,19.5926
57.1211,-11.2792
4.1542,18.7827
-1.3428,14.0752
8.2198,14.4707
33.0539,3.8481
15.5406,16.6988
9.7943,14.5817
-8.5866,12.621
-5.9257,15.9678
-9.5347,12.5113
15.7124,8.0326
-27.9111,18.351
-9.5971,16.5065
0.3564,30.6185
-6.8873,21.4622
50.4042,4.1359
-2.8402,35.2165
-10.316,19.9727
-37.394,6.0214
-34.5743,12.6364
-24.706,11.7623
-54.176,-4.463
-37.797,1.0016
-45.7653,-12.3548
-40.8813,-10.1994
-29.8144,-19.4073
-3.437,-19.429
7.5451,-32.2545
7.5448,-32.7482
-2.3685,-19.8089
-9.3414,29.6789
-27.1657,4.5358
-32.1799,-7.9055
-37.2959,-23.9262
-33.8435,-24.0875
-37.1505,-23.0597
-38.5211,-30.7925
-31.0645,-33.4574
-31.0997,-35.1449
-27.4289,-32.2405
-32.5259,-28.9551
-26.4063,-23.4322
42.6578,-33.9807
42.7488,12.7327
3.389,-21.0411
0.3378,-15.9486
10.1636,7.5441
22.1213,12.0533
41.5927,11.1054
19.9637,14.8973
26.8047,4.2076
15.8359,12.1546
6.6352,13.1887
-8.7485,13.8336
-8.5071,16.4075
25.6904,23.3588
-29.007,18.5367
-8.762,13.9866
-9.2237,16.4478
21.2345,29.2037
-15.1823,26.9337
9.5694,35.5785
-23.8389,15.0581
-26.7122,6.6196
-37.9686,-3.6765
-31.7571,4.3775
-53.446,-3.402
-37.3228,3.6904
-48.704,-3.0644
-46.2372,1.8376
-28.5209,3.4818
-13.7974,-17.7553
-2.5101,-18.3002
-2.0399,-18.2075
-8.6793,33.9521
-11.9393,30.4163
7.9358,37.5165
-40.4417,-12.0145
37.7498,21.3444
-30.5138,-1.6809
-42.3011,-29.9781
-36.6777,-23.4224
-38.0462,-28.9829
-36.4692,-31.076
-33.1853,-30.5908
-32.3052,-33.6544
-32.5228,-34.9672
42.6037,-34.9907
3.3191,-17.575
5.7066,-23.8983
1.8687,-16.9584
31.1829,1.8124
30.6373,3.1556
18.1244,8.9844
19.5129,8.2495
43.5263,5.0151
54.0186,-12.8267
27.6295,20.5662
13.2077,18.2101
26.699,20.8704
1.7632,28.6582
-13.1251,11.572
-18.1143,6.9348
-35.8646,16.6543
6.6987,23.4708
37.9462,19.7398
-26.2992,11.8957
-55.4141,1.4051
-31.745,19.2719
50.5421,5.6503
-47.405,-2.6066
-42.2058,-10.183
8.6916,37.3518
-48.3047,-2.6201
-49.0622,-7.0429
-31.0567,6.4316
-34.0762,-19.9314
-27.6933,1.717
-24.1957,5.7521
-11.4992,30.5302
28.2521,25.5243
12.652,36.2462
-31.2799,-4.8101
