# m/z,Intensity
743.3000,0.2209
743.4000,3.5429
743.5000,2.0000
743.6000,1.5341
743.7000,2.4593
743.8000,3.7626
743.9000,3.2978
744.0000,4.2391
744.1000,1.0000
744.2000,1.2352
744.3000,3.0000
744.4000,1.7714
744.5000,10.8736
744.6000,13.2220
744.7000,18.0934
744.8000,8.3503
744.9000,3.7061
745.0000,4.4199
745.1000,5.8044
745.2000,6.5768
745.3000,9.5473
745.4000,28.5374
745.5000,91.2418
745.6000,132.9692
745.7000,100.8087
745.8000,56.2571
745.9000,19.3516
746.0000,6.3462
746.1000,4.2217
746.2000,6.1935
746.3000,16.5783
746.4000,8.9315
746.5000,9.8370
746.6000,5.9598
746.7000,4.9692
746.8000,7.9967
746.9000,9.9604
747.0000,3.9451
747.1000,4.2637
747.2000,1.1341
747.3000,2.9077
747.4000,1.5330
747.5000,2.5275
747.6000,4.8446
747.7000,1.0286
747.8000,2.1967
747.9000,1.7780
748.0000,1.0000
748.1000,0.5391
748.2000,0.7054
748.3000,1.6804
748.4000,1.0000
748.5000,2.2527
748.6000,1.6011
748.7000,1.0000
748.8000,1.6337
748.9000,1.5143
749.0000,0.4837
749.1000,1.5473
749.2000,0.4228
749.3000,1.6088
749.4000,1.6451
749.5000,3.3696
749.6000,0.5868
749.8000,1.7791
749.9000,1.6308
750.0000,2.5549
750.1000,1.1121
750.2000,0.0758
750.3000,0.9604
750.5000,0.9670
750.6000,1.9207
750.7000,3.0000
750.8000,4.5418
750.9000,0.8022
751.0000,0.9451
751.1000,2.7196
751.2000,1.6728
751.3000,0.6330
751.4000,2.4098
751.5000,3.0000
751.6000,5.4902
751.7000,8.1000
751.8000,6.2098
751.9000,5.9304
752.0000,4.0000
752.1000,1.0000
752.2000,0.2175
752.3000,2.1613
752.4000,3.0000
752.5000,3.0000
752.6000,4.0000
752.7000,3.8435
752.8000,2.1935
752.9000,0.4352
753.0000,2.2011
753.1000,0.7495
753.2000,1.3050
753.3000,1.0000
753.4000,2.0000
753.5000,0.4754
753.6000,0.5333
753.7000,0.4087
753.9000,1.4142
754.1000,2.6641
754.2000,1.0000
754.3000,0.0503
754.4000,1.9978
754.5000,1.8579
754.6000,0.8696
754.7000,1.6044
754.8000,1.4667
754.9000,0.3246
755.0000,0.6066
755.2000,0.5311
755.3000,1.7867
755.4000,0.3348
755.6000,0.1956
755.7000,0.8692
755.8000,0.9391
756.0000,0.0765
756.1000,1.0000
756.2000,0.4503
756.4000,0.6262
756.6000,1.0448
756.7000,0.6022
756.8000,1.3421
757.0000,0.3388
757.1000,0.9104
757.2000,0.0098
757.3000,0.9304
757.4000,1.8511
757.5000,1.0000
757.8000,0.5366
757.9000,0.4459
758.0000,1.0000
758.1000,0.2785
758.2000,0.8044
758.4000,1.9497
758.5000,0.0652
758.6000,1.0000
758.7000,1.2348
758.8000,0.6500
758.9000,1.5848
759.0000,0.4946
759.1000,1.4043
759.2000,1.6859
759.4000,1.0000
759.5000,0.9565
759.6000,0.0467
759.7000,1.8630
759.8000,2.0000
759.9000,2.3435
760.0000,1.1630
760.1000,0.5196
760.2000,1.3860
760.3000,1.2891
760.4000,1.0000
760.5000,0.0978
760.7000,0.8957
761.1000,1.0000
761.2000,0.3902
761.5000,0.0860
761.9000,1.9826
762.0000,1.0000
762.4000,0.1228
762.5000,0.0109
762.6000,0.1000
763.2000,0.7728
763.3000,0.8848
763.5000,0.1087
763.6000,1.0000
763.8000,0.5387
763.9000,1.0000
764.1000,0.1849
764.3000,1.0000
764.6000,1.0000
764.7000,0.4609
764.8000,0.3380
764.9000,0.2129
765.0000,0.1828
765.2000,0.8376
765.4000,0.5816
765.6000,1.3399
765.7000,1.1956
765.8000,0.1427
765.9000,0.3065
766.2000,0.4522
766.3000,1.4204
766.4000,0.7118
766.5000,0.1559
766.6000,0.0237
766.7000,1.0000
766.8000,3.7484
766.9000,1.3839
767.0000,1.0000
767.1000,1.0000
767.2000,1.2086
767.3000,0.9337
767.4000,1.8667
767.5000,1.0000
767.6000,0.6543
767.7000,2.0000
767.8000,3.6239
767.9000,4.8424
768.0000,1.0968
768.1000,2.0000
768.2000,2.4323
768.3000,0.6645
768.4000,0.9505
768.5000,1.8548
768.6000,1.4609
768.8000,1.0000
768.9000,4.2033
769.0000,2.6522
769.1000,6.4978
769.2000,3.6478
769.3000,6.9731
769.4000,3.1043
769.5000,2.0000
769.6000,5.7742
769.7000,2.3989
769.8000,1.5508
769.9000,5.4142
770.0000,4.0000
770.1000,7.0087
770.2000,15.6565
770.3000,27.8457
770.4000,21.7250
770.5000,12.2688
770.6000,9.0000
770.7000,8.1161
770.8000,10.1065
770.9000,10.0409
771.0000,19.6522
771.1000,60.9505
771.2000,169.7543
771.3000,234.8645
