title,t-SNE - multiple sets,,
plot_type,scatter,,
x_label,Component 1,,
y_label,Component 2,,
color,#1abc9c,,#a121dd
axis_x,axis_y,axis_x,axis_y
-26.8833,-22.8368,-31.0932,10.3372
39.6866,-37.2705,-30.4873,4.6784
39.8751,19.9944,-39.842,-5.5071
40.3845,19.5926,-26.6859,8.498
57.1211,-11.2792,-41.7873,-11.0465
4.1542,18.7827,-37.3816,-4.6637
-1.3428,14.0752,-35.9659,-4.1512
8.2198,14.4707,-28.716,2.5954
33.0539,3.8481,9.2637,36.15
15.5406,16.6988,6.6557,36.1313
9.7943,14.5817,-30.051,-1.8783
-8.5866,12.621,39.4778,-38.1386
-5.9257,15.9678,39.7584,20.6599
-9.5347,12.5113,3.3774,18.644
15.7124,8.0326,17.4343,13.7718
-27.9111,18.351,41.4028,6.9186
-9.5971,16.5065,41.4693,6.3618
0.3564,30.6185,22.4561,17.9584
-6.8873,21.4622,44.9026,-17.9838
50.4042,4.1359,48.5621,-9.1487
-2.8402,35.2165,48.4231,-10.0488
-10.316,19.9727,49.7285,1.1605
-37.394,6.0214,46.376,6.3203
-34.5743,12.6364,40.4992,11.9955
-24.706,11.7623,44.5605,-5.6477
-54.176,-4.463,40.5239,-7.5386
-37.797,1.0016,-23.2239,21.2455
-45.7653,-12.3548,11.2549,22.3374
-40.8813,-10.1994,25.9089,26.3666
-29.8144,-19.4073,-22.4475,23.1608
-3.437,-19.429,10.9934,23.916
7.5451,-32.2545,-9.2768,27.6048
7.5448,-32.7482,-2.3078,21.8685
-2.3685,-19.8089,17.8484,24.8267
-9.3414,29.6789,44.7344,-18.6735
-27.1657,4.5358,-29.5082,5.0452
-32.1799,-7.9055,-8.5563,22.0633
-37.2959,-23.9262,-39.2096,5.7218
-33.8435,-24.0875,-36.7481,15.5355
-37.1505,-23.0597,-48.7875,-4.7295
-38.5211,-30.7925,-52.7434,-9.7869
-31.0645,-33.4574,-47.2465,-7.6536
-31.0997,-35.1449,-51.285,-2.8291
-27.4289,-32.2405,-49.3758,1.1722
-32.5259,-28.9551,-37.6598,4.0693
-26.4063,-23.4322,-28.0474,9.1961
42.6578,-33.9807,-23.7183,13.5276
42.7488,12.7327,-15.8322,29.564
3.389,-21.0411,-32.918,-0.5605
0.3378,-15.9486,-41.1675,-9.2488
10.1636,7.5441,-41.2058,-26.4098
22.1213,12.0533,-41.9529,-18.4678
41.5927,11.1054,-42.5611,-17.4422
19.9637,14.8973,-37.2448,-5.3739
26.8047,4.2076,-9.3887,30.499
15.8359,12.1546,9.0249,38.6896
6.6352,13.1887,39.9586,-39.9655
-8.7485,13.8336,52.8664,-4.4488
-8.5071,16.4075,29.9488,18.0377
25.6904,23.3588,52.8501,-18.7406
-29.007,18.5367,15.8795,14.503
-8.762,13.9866,42.4876,9.1868
-9.2237,16.4478,42.4027,-5.3872
21.2345,29.2037,37.8229,-6.7483
-15.1823,26.9337,44.9154,-12.3966
9.5694,35.5785,33.4198,3.7093
-23.8389,15.0581,40.0327,4.2692
-26.7122,6.6196,39.2948,4.072
-37.9686,-3.6765,48.2974,-20.4621
-31.7571,4.3775,52.6373,-17.8136
-53.446,-3.402,43.7836,-11.5795
-37.3228,3.6904,44.6591,10.5421
-48.704,-3.0644,32.0531,14.756
-46.2372,1.8376,4.6987,38.6787
-28.5209,3.4818,31.4789,13.6582
-13.7974,-17.7553,7.2437,24.2552
-2.5101,-18.3002,9.6526,23.3314
-2.0399,-18.2075,13.9512,32.1576
-8.6793,33.9521,34.2755,5.4226
-11.9393,30.4163,-14.8087,16.0521
7.9358,37.5165,-3.686,30.2932
,,1.5464,34.9313
,,-23.9935,19.4955
,,-23.1099,21.3633
,,-30.5027,12.8136
,,-40.3272,0.7596
,,-51.9299,-2.0414
,,-46.6843,-2.7116
,,-50.847,-2.76
,,-46.2532,-8.4517
,,-24.3762,13.2791
,,-16.914,29.2852
,,-29.4134,0.3865
,,6.2616,-25.2751
,,-4.2215,-20.9938
,,-31.4848,-17.8535
,,-33.1343,-0.5738
,,-39.24,-13.9725
,,-42.886,-19.9197
,,-41.3205,-12.0573
,,-33.2184,-4.7409
,,40.5601,-38.9473
,,51.9786,-1.621
,,56.5266,-11.8572
,,52.0642,1.2494
,,39.3358,6.2888
,,41.9505,6.0439
,,40.127,9.4092
,,45.2207,-12.8718
,,49.3711,-8.9789
,,46.573,0.804
,,20.1032,7.7819
,,51.8391,-17.8871
,,46.9447,-6.0182
,,55.5533,-12.72
,,55.2954,-12.1689
,,-13.0269,27.904
,,45.3567,-11.0895
,,39.4513,-7.3536
,,14.6222,31.0816
,,8.28,23.4895
,,15.3096,22.9904
,,-34.5909,16.7283
,,44.0312,-11.886
,,-28.7313,13.555
,,-38.3855,11.8384
,,-55.673,0.368
,,38.9172,17.7875
,,-2.5115,35.0127
,,-2.49,31.303
,,-37.418,1.1656
,,-33.2316,4.2453
