title,Fdc1 @ 350 K - multiple X-axis,,,,,,,,,,,,,
plot_type,multi-line,,,,,,,,,,,,,
x_label,Time (ns),,,,,,,,,,,,,
y_label,Secondary structure (%),,,,,,,,,,,,,
x_unit,ns,,,,,,,,,,,,,
y_unit,%,,,,,,,,,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000,,#68D2FB,,#000080,#009F00,,#800080
label,None,,Parallel Beta-sheet,,Anti Beta-sheet,,3-10 helix,,Alpha helix,,Pi(3-14) helix,Turn,,Bend
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_y,axis_x,axis_y
4.386,0.24063,4.386,0.05621,4.386,0.14103,4.386,0.03057,4.386,0.21795,4.386,0,0.15779,4.386,0.15976
4.388,0.23274,4.388,0.06607,4.388,0.13116,4.388,0.02761,4.388,0.20809,4.388,0,0.16469,4.388,0.17357
4.39,0.23964,4.39,0.0641,4.39,0.13412,4.39,0.02761,4.39,0.20907,4.39,0.00493,0.17751,4.39,0.14694
4.392,0.25542,4.392,0.05523,4.392,0.13511,4.392,0.01479,4.392,0.22387,4.392,0,0.17258,4.392,0.14694
4.394,0.23767,4.394,0.06213,4.394,0.13511,4.394,0.02959,4.394,0.21302,4.394,0.00493,0.16963,4.394,0.15187
4.396,0.24556,4.396,0.05819,4.396,0.12623,4.396,0.02367,4.396,0.21499,4.396,0,0.17751,4.396,0.15779
4.398,0.25542,4.398,0.05819,4.398,0.12821,4.398,0.02663,4.398,0.20809,4.398,0.00986,0.16667,4.398,0.15089
4.4,0.24655,4.4,0.06114,4.4,0.12623,4.4,0.02465,4.4,0.20316,4.4,0,0.18639,4.4,0.15582
4.402,0.23866,4.402,0.06213,4.402,0.13511,4.402,0.03353,4.402,0.214,4.402,0,0.16568,4.402,0.15483
4.404,0.24951,4.404,0.0572,4.404,0.13905,4.404,0.0286,4.404,0.21499,4.404,0,0.16667,4.404,0.14793
4.406,0.24162,4.406,0.05917,4.406,0.13609,4.406,0.02959,4.406,0.21598,4.406,0,0.16568,4.406,0.15582
4.408,0.24063,4.408,0.05819,4.408,0.13412,4.408,0.01479,4.408,0.20907,4.408,0,0.18343,4.408,0.16371
4.41,0.25049,4.41,0.05621,4.41,0.13511,4.41,0.02959,4.41,0.20217,4.41,0.00493,0.17554,4.41,0.1499
4.412,0.24458,4.412,0.05523,4.412,0.13708,4.412,0.02959,4.412,0.22288,4.412,0.00493,0.1568,4.412,0.15286
4.414,0.24753,4.414,0.05819,4.414,0.12919,4.414,0.02959,4.414,0.21499,4.414,0,0.16272,4.414,0.16174
4.416,0.23767,4.416,0.06706,4.416,0.12821,4.416,0.03057,4.416,0.21795,4.416,0,0.16075,4.416,0.16174
4.418,0.24753,4.418,0.0572,4.418,0.13018,4.418,0.01775,4.418,0.20513,4.418,0.00493,0.18047,4.418,0.16075
4.42,0.24556,4.42,0.05621,4.42,0.14004,4.42,0.01972,4.42,0.21203,4.42,0.00493,0.17554,4.42,0.1499
4.422,0.2426,4.422,0.06114,4.422,0.12821,4.422,0.0217,4.422,0.2071,4.422,0.00493,0.17554,4.422,0.16272
4.424,0.24556,4.424,0.05424,4.424,0.14103,4.424,0.01775,4.424,0.21992,4.424,0.00493,0.16864,4.424,0.15187
4.426,0.24655,4.426,0.05523,4.426,0.13609,4.426,0.03254,4.426,0.21992,4.426,0,0.16469,4.426,0.14892
4.428,0.25937,4.428,0.05819,4.428,0.11933,4.428,0.02663,4.428,0.20611,4.428,0.00493,0.16667,4.428,0.16272
4.43,0.24852,4.43,0.06114,4.43,0.13018,4.43,0.02663,4.43,0.21499,4.43,0,0.17258,4.43,0.1499
4.432,0.23964,4.432,0.06114,4.432,0.13215,4.432,0.02761,4.432,0.21203,4.432,0.00493,0.17061,4.432,0.15582
4.434,0.24063,4.434,0.0572,4.434,0.13807,4.434,0.02959,4.434,0.21302,4.434,0.00493,0.17061,4.434,0.1499
4.436,0.25247,4.436,0.0572,4.436,0.12525,4.436,0.02761,4.436,0.21203,4.436,0,0.17949,4.436,0.1499
4.438,0.24162,4.438,0.05917,4.438,0.13511,4.438,0.02663,4.438,0.21105,4.438,0.00493,0.17653,4.438,0.14892
4.44,0.23866,4.44,0.06114,4.44,0.13116,4.44,0.03156,4.44,0.19132,4.44,0.00986,0.17653,4.44,0.16371
4.442,0.24951,4.442,0.0572,4.442,0.12919,4.442,0.03649,4.442,0.20809,4.442,0,0.15878,4.442,0.16469
4.444,0.24458,4.444,0.05523,4.444,0.12821,4.444,0.02663,4.444,0.21006,4.444,0.00493,0.17357,4.444,0.16075
4.446,0.24162,4.446,0.06312,4.446,0.12426,4.446,0.02465,4.446,0.21105,4.446,0,0.18047,4.446,0.15878
4.448,0.2426,4.448,0.06114,4.448,0.13314,4.448,0.02663,4.448,0.22584,4.448,0,0.16667,4.448,0.14793
4.45,0.24162,4.45,0.06312,4.45,0.12623,4.45,0.02071,4.45,0.22387,4.45,0,0.16371,4.45,0.16469
4.452,0.24655,4.452,0.05819,4.452,0.12327,4.452,0.03353,4.452,0.20414,4.452,0.00493,0.17949,4.452,0.15385
4.454,0.2426,4.454,0.06114,4.454,0.12525,4.454,0.02663,4.454,0.2288,4.454,0,0.15779,4.454,0.16174
4.456,0.25049,4.456,0.05917,4.456,0.12327,4.456,0.02465,4.456,0.21992,4.456,0,0.16667,4.456,0.15976
4.458,0.24359,4.458,0.06213,4.458,0.12623,4.458,0.02071,4.458,0.21105,4.458,0,0.18442,4.458,0.15582
4.46,0.2426,4.46,0.0641,4.46,0.12821,4.46,0.03649,4.46,0.19428,4.46,0.00493,0.18146,4.46,0.15187
4.462,0.25345,4.462,0.05819,4.462,0.12229,4.462,0.02663,4.462,0.20611,4.462,0.00493,0.17456,4.462,0.15779
4.464,0.25247,4.464,0.0572,4.464,0.12525,4.464,0.02663,4.464,0.2002,4.464,0.00493,0.18639,4.464,0.15089
4.466,0.24556,4.466,0.06312,4.466,0.12722,4.466,0.02071,4.466,0.22584,4.466,0,0.16568,4.466,0.15582
4.468,0.24655,4.468,0.06312,4.468,0.12722,4.468,0.02663,4.468,0.21105,4.468,0.00493,0.18047,4.468,0.14398
4.47,0.25345,4.47,0.0572,4.47,0.12426,4.47,0.0286,4.47,0.20809,4.47,0,0.1785,4.47,0.15385
4.472,0.24063,4.472,0.06509,4.472,0.12821,4.472,0.03156,4.472,0.2071,4.472,0,0.17357,4.472,0.15779
4.474,0.24655,4.474,0.06114,4.474,0.13018,4.474,0.01775,4.474,0.19921,4.474,0,0.19132,4.474,0.15779
4.476,0.24556,4.476,0.05917,4.476,0.13116,4.476,0.02465,4.476,0.21006,4.476,0.00493,0.17061,4.476,0.15779
4.478,0.24458,4.478,0.05819,4.478,0.13314,4.478,0.02465,4.478,0.22387,4.478,0,0.1716,4.478,0.14793
4.48,0.24359,4.48,0.0641,4.48,0.12919,4.48,0.02761,4.48,0.20809,4.48,0,0.18245,4.48,0.14892
4.482,0.23274,4.482,0.06312,4.482,0.13018,4.482,0.03057,4.482,0.20907,4.482,0.00493,0.16864,4.482,0.16469
4.484,0.24753,4.484,0.06213,4.484,0.13018,4.484,0.01874,4.484,0.23176,4.484,0.00493,0.15483,4.484,0.15385
4.486,0.23471,4.486,0.0641,4.486,0.13314,4.486,0.02564,4.486,0.21105,4.486,0.00493,0.16371,4.486,0.16667
4.488,0.24359,4.488,0.06114,4.488,0.13018,4.488,0.0286,4.488,0.21992,4.488,0.00493,0.16469,4.488,0.15089
4.49,0.24063,4.49,0.06312,4.49,0.12722,4.49,0.02465,4.49,0.22091,4.49,0,0.1716,4.49,0.15582
4.492,0.24458,4.492,0.06509,4.492,0.13018,4.492,0.02071,4.492,0.21893,4.492,0,0.17456,4.492,0.1499
4.494,0.24951,4.494,0.06016,4.494,0.13215,4.494,0.03945,4.494,0.19822,4.494,0.00493,0.15878,4.494,0.16075
4.496,0.24556,4.496,0.06312,4.496,0.12426,4.496,0.02959,4.496,0.214,4.496,0,0.17258,4.496,0.15483
4.498,0.25345,4.498,0.05819,4.498,0.13018,4.498,0.0217,4.498,0.21893,4.498,0.00493,0.16075,4.498,0.15582
4.5,0.25247,4.5,0.05621,4.5,0.13116,4.5,0.02959,4.5,0.20513,4.5,0.00493,0.16371,4.5,0.16075
4.502,0.24753,4.502,0.06114,4.502,0.13018,4.502,0.02663,4.502,0.20809,4.502,0,0.18343,4.502,0.14694
4.504,0.23767,4.504,0.06509,4.504,0.13215,4.504,0.02663,4.504,0.21105,4.504,0.00493,0.17258,4.504,0.15385
4.506,0.2426,4.506,0.06114,4.506,0.13018,4.506,0.03353,4.506,0.20809,4.506,0,0.17357,4.506,0.15483
4.508,0.24359,4.508,0.05917,4.508,0.13412,4.508,0.02959,4.508,0.20118,4.508,0,0.1785,4.508,0.15779
4.51,0.24162,4.51,0.06706,4.51,0.12525,4.51,0.02663,4.51,0.20907,4.51,0,0.17456,4.51,0.15976
4.512,0.24162,4.512,0.06312,4.512,0.12821,4.512,0.02465,4.512,0.21302,4.512,0.00493,0.16963,4.512,0.15878
4.514,0.24063,4.514,0.05917,4.514,0.13314,4.514,0.02367,4.514,0.21006,4.514,0.00493,0.17357,4.514,0.15878
4.516,0.25049,4.516,0.06114,4.516,0.13215,4.516,0.02071,4.516,0.21696,4.516,0.00493,0.17357,4.516,0.14398
4.518,0.24458,4.518,0.06114,4.518,0.12821,4.518,0.03057,4.518,0.21302,4.518,0.00493,0.16371,4.518,0.15779
4.52,0.24359,4.52,0.06114,4.52,0.13511,4.52,0.03156,4.52,0.20907,4.52,0,0.1716,4.52,0.15187
4.522,0.23669,4.522,0.06509,4.522,0.13215,4.522,0.03452,4.522,0.19822,4.522,0,0.17456,4.522,0.16272
4.524,0.24852,4.524,0.0641,4.524,0.13116,4.524,0.03156,4.524,0.20118,4.524,0,0.1854,4.524,0.14201
4.526,0.23866,4.526,0.06706,4.526,0.12426,4.526,0.02367,4.526,0.21992,4.526,0,0.16765,4.526,0.16272
4.528,0.23866,4.528,0.0572,4.528,0.14004,4.528,0.02564,4.528,0.20118,4.528,0.00592,0.17949,4.528,0.15582
4.53,0.24655,4.53,0.0641,4.53,0.12919,4.53,0.0355,4.53,0.2002,4.53,0.00493,0.17258,4.53,0.15089
4.532,0.23866,4.532,0.06706,4.532,0.13412,4.532,0.02663,4.532,0.20316,4.532,0,0.17949,4.532,0.15483
4.534,0.24458,4.534,0.06016,4.534,0.13116,4.534,0.02367,4.534,0.21795,4.534,0.00493,0.16568,4.534,0.15582
4.536,0.2426,4.536,0.05917,4.536,0.13412,4.536,0.02959,4.536,0.214,4.536,0,0.16765,4.536,0.1568
4.538,0.2426,4.538,0.06213,4.538,0.13018,4.538,0.03156,4.538,0.20414,4.538,0.00493,0.17061,4.538,0.15779
4.54,0.24458,4.54,0.06312,4.54,0.13314,4.54,0.02367,4.54,0.214,4.54,0.00493,0.16864,4.54,0.15187
4.542,0.23767,4.542,0.06213,4.542,0.13314,4.542,0.02564,4.542,0.20611,4.542,0,0.18146,4.542,0.15779
4.544,0.2357,4.544,0.06805,4.544,0.13116,4.544,0.03353,4.544,0.21696,4.544,0,0.15483,4.544,0.16371
4.546,0.24556,4.546,0.06607,4.546,0.13018,4.546,0.02465,4.546,0.2071,4.546,0,0.17357,4.546,0.1568
4.548,0.2357,4.548,0.06114,4.548,0.13412,4.548,0.03057,4.548,0.19329,4.548,0.00493,0.18442,4.548,0.15976
4.55,0.24655,4.55,0.06805,4.55,0.13018,4.55,0.02465,4.55,0.21893,4.55,0.00493,0.16371,4.55,0.14694
4.552,0.24852,4.552,0.06213,4.552,0.12821,4.552,0.02465,4.552,0.21006,4.552,0.00493,0.16864,4.552,0.1568
4.554,0.24556,4.554,0.06213,4.554,0.13018,4.554,0.02959,4.554,0.22189,4.554,0.00493,0.1568,4.554,0.15286
4.556,0.24951,4.556,0.06016,4.556,0.12821,4.556,0.0286,4.556,0.22584,4.556,0,0.15779,4.556,0.15385
4.558,0.23866,4.558,0.06509,4.558,0.12821,4.558,0.0286,4.558,0.20414,4.558,0.00493,0.16667,4.558,0.16765
4.56,0.23471,4.56,0.05621,4.56,0.13807,4.56,0.0286,4.56,0.22387,4.56,0,0.15878,4.56,0.16371
4.562,0.23964,4.562,0.05424,4.562,0.13807,4.562,0.02367,4.562,0.20611,4.562,0.00986,0.18343,4.562,0.14892
4.564,0.24359,4.564,0.05917,4.564,0.13018,4.564,0.02959,4.564,0.2071,4.564,0,0.17061,4.564,0.16371
4.566,0.23767,4.566,0.05917,4.566,0.14201,4.566,0.01479,4.566,0.21598,4.566,0.00493,0.17751,4.566,0.15187
4.568,0.24063,4.568,0.06706,4.568,0.13018,4.568,0.0286,4.568,0.21105,4.568,0,0.17357,4.568,0.15286
4.57,0.23373,4.57,0.06213,4.57,0.13905,4.57,0.02071,4.57,0.21499,4.57,0.00493,0.17061,4.57,0.15779
4.572,0.2426,4.572,0.06016,4.572,0.13116,4.572,0.01479,4.572,0.21302,4.572,0,0.17751,4.572,0.16469
4.574,0.24162,4.574,0.06312,4.574,0.13412,4.574,0.02367,4.574,0.20907,4.574,0,0.17061,4.574,0.16174
4.576,0.25641,4.576,0.05819,4.576,0.12722,4.576,0.03156,4.576,0.21893,4.576,0,0.1568,4.576,0.15483
4.578,0.2357,4.578,0.06213,4.578,0.13708,4.578,0.02959,4.578,0.20611,4.578,0,0.18245,4.578,0.15089
4.58,0.25049,4.58,0.05819,4.58,0.13314,4.58,0.02761,4.58,0.21203,4.58,0.00493,0.16469,4.58,0.15286
4.582,0.25148,4.582,0.0641,4.582,0.12722,4.582,0.02761,4.582,0.21203,4.582,0,0.17061,4.582,0.15089
4.584,0.24951,4.584,0.06016,4.584,0.12821,4.584,0.02663,4.584,0.21598,4.584,0,0.17258,4.584,0.15089
4.586,0.24556,4.586,0.06213,4.586,0.13018,4.586,0.03057,4.586,0.20118,4.586,0,0.17653,4.586,0.15779
4.588,0.25049,4.588,0.05227,4.588,0.13708,4.588,0.02663,4.588,0.20513,4.588,0.00986,0.17258,4.588,0.1499
4.59,0.24753,4.59,0.06903,4.59,0.12426,4.59,0.02465,4.59,0.21203,4.59,0.00493,0.16272,4.59,0.15878
4.592,0.24162,4.592,0.0641,4.592,0.13511,4.592,0.02663,4.592,0.21006,4.592,0.00493,0.17456,4.592,0.14694
4.594,0.24852,4.594,0.06213,4.594,0.13116,4.594,0.03353,4.594,0.20414,4.594,0,0.1716,4.594,0.15286
4.596,0.23964,4.596,0.05621,4.596,0.13708,4.596,0.02761,4.596,0.22189,4.596,0.00493,0.16075,4.596,0.15582
4.598,0.25148,4.598,0.05227,4.598,0.13412,4.598,0.02761,4.598,0.214,4.598,0.00493,0.16667,4.598,0.15286
4.6,0.24655,4.6,0.05917,4.6,0.13116,4.6,0.0355,4.6,0.19625,4.6,0.00493,0.1716,4.6,0.15878
4.602,0.25247,4.602,0.05917,4.602,0.13412,4.602,0.03057,4.602,0.21598,4.602,0,0.1716,4.602,0.14004
4.604,0.24753,4.604,0.06114,4.604,0.13018,4.604,0.02663,4.604,0.20316,4.604,0.00493,0.17751,4.604,0.15286
4.606,0.25345,4.606,0.05819,4.606,0.13215,4.606,0.02663,4.606,0.22288,4.606,0.00493,0.15582,4.606,0.1499
4.608,0.24556,4.608,0.06509,4.608,0.13412,4.608,0.02663,4.608,0.22288,4.608,0.00493,0.15385,4.608,0.15089
4.61,0.24753,4.61,0.06213,4.61,0.13609,4.61,0.03057,4.61,0.20316,4.61,0.00493,0.16667,4.61,0.15286
4.612,0.23471,4.612,0.06312,4.612,0.13215,4.612,0.03254,4.612,0.20217,4.612,0.00493,0.17258,4.612,0.16174
4.614,0.23767,4.614,0.06114,4.614,0.13412,4.614,0.02071,4.614,0.22682,4.614,0.00493,0.16371,4.614,0.15483
4.616,0.2288,4.616,0.06706,4.616,0.13511,4.616,0.0286,4.616,0.21105,4.616,0,0.17061,4.616,0.16272
4.618,0.24162,4.618,0.05819,4.618,0.13511,4.618,0.02761,4.618,0.19625,4.618,0,0.18047,4.618,0.16469
4.62,0.23964,4.62,0.0641,4.62,0.13412,4.62,0.02071,4.62,0.23176,4.62,0,0.16075,4.62,0.15286
4.622,0.24556,4.622,0.06607,4.622,0.13116,4.622,0.01775,4.622,0.21893,4.622,0,0.17258,4.622,0.15187
4.624,0.24852,4.624,0.06312,4.624,0.12229,4.624,0.02367,4.624,0.21499,4.624,0,0.16765,4.624,0.16371
4.626,0.24162,4.626,0.06312,4.626,0.13314,4.626,0.02761,4.626,0.22288,4.626,0.00493,0.16174,4.626,0.14892
4.628,0.24162,4.628,0.06805,4.628,0.13116,4.628,0.01874,4.628,0.19625,4.628,0,0.18935,4.628,0.15878
4.63,0.2426,4.63,0.05917,4.63,0.12821,4.63,0.03353,4.63,0.2071,4.63,0.00493,0.16963,4.63,0.15878
4.632,0.25247,4.632,0.05325,4.632,0.12919,4.632,0.0217,4.632,0.22485,4.632,0.00493,0.16174,4.632,0.15582
4.634,0.23669,4.634,0.06114,4.634,0.13018,4.634,0.01874,4.634,0.21499,4.634,0.00493,0.17456,4.634,0.16272
4.636,0.25444,4.636,0.06016,4.636,0.13215,4.636,0.03057,4.636,0.2002,4.636,0,0.1785,4.636,0.14793
4.638,0.24458,4.638,0.06312,4.638,0.13018,4.638,0.01183,4.638,0.22584,4.638,0,0.17653,4.638,0.15187
4.64,0.24063,4.64,0.05424,4.64,0.13807,4.64,0.03057,4.64,0.20809,4.64,0.00986,0.16272,4.64,0.15976
4.642,0.2426,4.642,0.06016,4.642,0.13215,4.642,0.02663,4.642,0.21105,4.642,0.00493,0.1785,4.642,0.14793
4.644,0.2426,4.644,0.06016,4.644,0.13511,4.644,0.0217,4.644,0.22485,4.644,0.00493,0.16469,4.644,0.1499
4.646,0.2426,4.646,0.06509,4.646,0.13215,4.646,0.02367,4.646,0.20907,4.646,0,0.16963,4.646,0.16174
4.648,0.24162,4.648,0.06114,4.648,0.13511,4.648,0.0286,4.648,0.21992,4.648,0.00493,0.16075,4.648,0.15187
4.65,0.23767,4.65,0.06016,4.65,0.13807,4.65,0.02367,4.65,0.20513,4.65,0,0.17456,4.65,0.16469
4.652,0.23471,4.652,0.06805,4.652,0.13018,4.652,0.04438,4.652,0.20513,4.652,0,0.16174,4.652,0.15976
4.654,0.23866,4.654,0.06213,4.654,0.13708,4.654,0.02761,4.654,0.20414,4.654,0.00493,0.17554,4.654,0.15385
4.656,0.2357,4.656,0.06706,4.656,0.13314,4.656,0.02367,4.656,0.20118,4.656,0,0.18836,4.656,0.15483
4.658,0.24556,4.658,0.06114,4.658,0.13116,4.658,0.0355,4.658,0.2002,4.658,0.00493,0.16963,4.658,0.15582
4.66,0.26331,4.66,0.05128,4.66,0.13116,4.66,0.03254,4.66,0.19921,4.66,0.00493,0.16963,4.66,0.15187
4.662,0.2426,4.662,0.06706,4.662,0.12525,4.662,0.03353,4.662,0.20316,4.662,0.00493,0.17357,4.662,0.15385
4.664,0.24556,4.664,0.06213,4.664,0.13215,4.664,0.03452,4.664,0.19724,4.664,0.00493,0.1716,4.664,0.15582
4.666,0.24753,4.666,0.05819,4.666,0.13314,4.666,0.03945,4.666,0.19329,4.666,0,0.1716,4.666,0.16075
4.668,0.25148,4.668,0.0572,4.668,0.12919,4.668,0.03353,4.668,0.21795,4.668,0,0.16469,4.668,0.1499
4.67,0.25542,4.67,0.06213,4.67,0.12623,4.67,0.03748,4.67,0.19527,4.67,0.00493,0.17554,4.67,0.14694
4.672,0.24753,4.672,0.06509,4.672,0.13314,4.672,0.03254,4.672,0.20316,4.672,0.00493,0.16963,4.672,0.14793
4.674,0.2426,4.674,0.06312,4.674,0.12722,4.674,0.02367,4.674,0.23077,4.674,0,0.16469,4.674,0.15187
4.676,0.25247,4.676,0.05819,4.676,0.13116,4.676,0.03254,4.676,0.20611,4.676,0,0.16963,4.676,0.15385
4.678,0.25838,4.678,0.05621,4.678,0.12327,4.678,0.0355,4.678,0.20118,4.678,0.00493,0.16568,4.678,0.15878
4.68,0.25247,4.68,0.05523,4.68,0.13412,4.68,0.03452,4.68,0.20118,4.68,0.00493,0.17653,4.68,0.14497
4.682,0.25838,4.682,0.05917,4.682,0.12919,4.682,0.0286,4.682,0.21105,4.682,0,0.16568,4.682,0.15187
4.684,0.25148,4.684,0.06903,4.684,0.12327,4.684,0.01479,4.684,0.22682,4.684,0.00493,0.16667,4.684,0.14694
4.686,0.23964,4.686,0.0641,4.686,0.13412,4.686,0.03452,4.686,0.18738,4.686,0.00493,0.19329,4.686,0.14596
4.688,0.24951,4.688,0.0572,4.688,0.13116,4.688,0.03156,4.688,0.2071,4.688,0.00493,0.16963,4.688,0.15286
4.69,0.25148,4.69,0.06312,4.69,0.12919,4.69,0.0286,4.69,0.2071,4.69,0,0.18047,4.69,0.14398
4.692,0.24753,4.692,0.06509,4.692,0.12821,4.692,0.02564,4.692,0.21696,4.692,0.00493,0.16667,4.692,0.14892
4.694,0.24458,4.694,0.06706,4.694,0.12722,4.694,0.02367,4.694,0.20118,4.694,0.00493,0.18245,4.694,0.15286
4.696,0.24556,4.696,0.0641,4.696,0.13511,4.696,0.02367,4.696,0.19822,4.696,0.00493,0.17949,4.696,0.15286
4.698,0.2574,4.698,0.06114,4.698,0.12327,4.698,0.02663,4.698,0.21203,4.698,0,0.18343,4.698,0.14004
4.7,0.24458,4.7,0.06805,4.7,0.13412,4.7,0.02367,4.7,0.21105,4.7,0,0.17554,4.7,0.14694
4.702,0.23767,4.702,0.06114,4.702,0.13609,4.702,0.03649,4.702,0.21302,4.702,0.00493,0.16765,4.702,0.14694
4.704,0.24063,4.704,0.06114,4.704,0.14004,4.704,0.02663,4.704,0.20118,4.704,0,0.18836,4.704,0.14596
4.706,0.24162,4.706,0.05917,4.706,0.13511,4.706,0.02761,4.706,0.214,4.706,0.00493,0.17456,4.706,0.14694
4.708,0.24458,4.708,0.06509,4.708,0.12722,4.708,0.02959,4.708,0.20414,4.708,0.00493,0.17357,4.708,0.15483
4.71,0.24063,4.71,0.06016,4.71,0.13412,4.71,0.02959,4.71,0.21795,4.71,0.00493,0.16667,4.71,0.1499
4.712,0.24162,4.712,0.05917,4.712,0.13511,4.712,0.02367,4.712,0.21006,4.712,0.00493,0.17653,4.712,0.15286
4.714,0.24951,4.714,0.05523,4.714,0.13314,4.714,0.02367,4.714,0.22485,4.714,0,0.16667,4.714,0.15089
4.716,0.24359,4.716,0.05917,4.716,0.13511,4.716,0.03254,4.716,0.20414,4.716,0.00493,0.16963,4.716,0.15483
4.718,0.23964,4.718,0.06607,4.718,0.13609,4.718,0.0217,4.718,0.21302,4.718,0.00493,0.1785,4.718,0.14398
4.72,0.2574,4.72,0.05227,4.72,0.13018,4.72,0.03452,4.72,0.2071,4.72,0,0.18146,4.72,0.14103
4.722,0.24063,4.722,0.06706,4.722,0.13215,4.722,0.02367,4.722,0.21105,4.722,0.00493,0.18047,4.722,0.14398
4.724,0.2643,4.724,0.05621,4.724,0.12327,4.724,0.02959,4.724,0.21598,4.724,0,0.1716,4.724,0.143
4.726,0.24359,4.726,0.05917,4.726,0.12426,4.726,0.02663,4.726,0.21203,4.726,0.00986,0.17357,4.726,0.15483
4.728,0.25542,4.728,0.05325,4.728,0.12426,4.728,0.02268,4.728,0.2071,4.728,0,0.18442,4.728,0.1568
4.73,0.24556,4.73,0.05917,4.73,0.12821,4.73,0.02761,4.73,0.21598,4.73,0.00493,0.16174,4.73,0.16075
4.732,0.24753,4.732,0.06213,4.732,0.13314,4.732,0.03353,4.732,0.21105,4.732,0.00493,0.16272,4.732,0.14892
4.734,0.25641,4.734,0.06016,4.734,0.13018,4.734,0.02367,4.734,0.214,4.734,0,0.17258,4.734,0.14694
4.736,0.23964,4.736,0.0641,4.736,0.13609,4.736,0.03057,4.736,0.2002,4.736,0.00493,0.17061,4.736,0.15779
4.738,0.24951,4.738,0.05523,4.738,0.13215,4.738,0.01479,4.738,0.21696,4.738,0,0.17456,4.738,0.16075
4.74,0.26134,4.74,0.05621,4.74,0.12821,4.74,0.03254,4.74,0.21105,4.74,0,0.16864,4.74,0.14596
4.742,0.25247,4.742,0.05621,4.742,0.13018,4.742,0.02367,4.742,0.22091,4.742,0,0.17061,4.742,0.1499
4.744,0.24951,4.744,0.05621,4.744,0.13215,4.744,0.02071,4.744,0.20414,4.744,0,0.18442,4.744,0.1568
4.746,0.24063,4.746,0.06016,4.746,0.13215,4.746,0.02959,4.746,0.214,4.746,0,0.17258,4.746,0.15483
4.748,0.25049,4.748,0.06114,4.748,0.13215,4.748,0.02959,4.748,0.21499,4.748,0.00493,0.16469,4.748,0.14596
4.75,0.24951,4.75,0.06213,4.75,0.13215,4.75,0.03945,4.75,0.20316,4.75,0,0.16174,4.75,0.15582
4.752,0.25444,4.752,0.06016,4.752,0.12919,4.752,0.02761,4.752,0.20513,4.752,0,0.1785,4.752,0.14892
4.754,0.25641,4.754,0.05424,4.754,0.13807,4.754,0.03649,4.754,0.21499,4.754,0,0.16075,4.754,0.143
4.756,0.24556,4.756,0.05819,4.756,0.13609,4.756,0.02959,4.756,0.22485,4.756,0,0.16075,4.756,0.14892
4.758,0.24458,4.758,0.05621,4.758,0.13708,4.758,0.0286,4.758,0.22584,4.758,0.00493,0.15187,4.758,0.15483
4.76,0.24556,4.76,0.05819,4.76,0.12919,4.76,0.02663,4.76,0.21598,4.76,0.00493,0.17653,4.76,0.14694
4.762,0.25838,4.762,0.06114,4.762,0.12525,4.762,0.03649,4.762,0.21598,4.762,0,0.16864,4.762,0.13807
4.764,0.25345,4.764,0.05819,4.764,0.13018,4.764,0.02367,4.764,0.20809,4.764,0,0.18738,4.764,0.143
4.766,0.24655,4.766,0.05819,4.766,0.13018,4.766,0.02959,4.766,0.21696,4.766,0.00493,0.16272,4.766,0.15483
4.768,0.24655,4.768,0.06213,4.768,0.13116,4.768,0.01874,4.768,0.19822,4.768,0.00493,0.19034,4.768,0.15187
4.77,0.24556,4.77,0.0572,4.77,0.13018,4.77,0.02663,4.77,0.21598,4.77,0.00493,0.17357,4.77,0.1499
4.772,0.24162,4.772,0.05621,4.772,0.13511,4.772,0.02761,4.772,0.22485,4.772,0,0.16765,4.772,0.15089
4.774,0.2426,4.774,0.06114,4.774,0.13511,4.774,0.02761,4.774,0.21795,4.774,0,0.16568,4.774,0.15385
4.776,0.25641,4.776,0.0572,4.776,0.13116,4.776,0.01183,4.776,0.21893,4.776,0,0.18639,4.776,0.14201
4.778,0.24753,4.778,0.05424,4.778,0.13708,4.778,0.04536,4.778,0.2002,4.778,0.00493,0.16174,4.778,0.15286
4.78,0.24753,4.78,0.06114,4.78,0.13018,4.78,0.02663,4.78,0.22485,4.78,0,0.1568,4.78,0.1568
4.782,0.24655,4.782,0.05523,4.782,0.13905,4.782,0.02959,4.782,0.21696,4.782,0,0.16963,4.782,0.14694
4.784,0.25345,4.784,0.05819,4.784,0.13314,4.784,0.01775,4.784,0.22584,4.784,0,0.16174,4.784,0.15385
4.786,0.25444,4.786,0.06016,4.786,0.13215,4.786,0.03156,4.786,0.22288,4.786,0,0.15483,4.786,0.14793
4.788,0.25542,4.788,0.05325,4.788,0.13609,4.788,0.04339,4.788,0.19034,4.788,0,0.17357,4.788,0.15187
4.79,0.25345,4.79,0.0572,4.79,0.13116,4.79,0.02761,4.79,0.21105,4.79,0,0.17357,4.79,0.1499
4.792,0.24852,4.792,0.05621,4.792,0.13215,4.792,0.03649,4.792,0.21696,4.792,0.00493,0.16075,4.792,0.14793
4.794,0.25148,4.794,0.06114,4.794,0.13215,4.794,0.01775,4.794,0.22288,4.794,0,0.16864,4.794,0.1499
