title,Fdc1 @ 350 K - multiple X-axis,,,,,,,,,,,,,
plot_type,multi-line,,,,,,,,,,,,,
x_label,Time (ns),,,,,,,,,,,,,
y_label,Secondary structure (%),,,,,,,,,,,,,
x_unit,ns,,,,,,,,,,,,,
y_unit,%,,,,,,,,,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000,,#68D2FB,,#000080,#009F00,,#800080
label,None,,Parallel Beta-sheet,,Anti Beta-sheet,,3-10 helix,,Alpha helix,,Pi(3-14) helix,Turn,,Bend
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_y,axis_x,axis_y
0.136,0.23866,0.136,0.06114,0.136,0.13905,0.136,0.03057,0.136,0.23373,0.136,0,0.14201,0.136,0.15878
0.138,0.24655,0.138,0.0641,0.138,0.13314,0.138,0.03846,0.138,0.21893,0.138,0,0.15582,0.138,0.14694
0.14,0.23767,0.14,0.05917,0.14,0.14201,0.14,0.03353,0.14,0.23077,0.14,0,0.14103,0.14,0.15976
0.142,0.23471,0.142,0.06607,0.142,0.13511,0.142,0.04438,0.142,0.22485,0.142,0.00493,0.13314,0.142,0.16075
0.144,0.24852,0.144,0.06114,0.144,0.13708,0.144,0.03649,0.144,0.22091,0.144,0.00493,0.13708,0.144,0.15779
0.146,0.24753,0.146,0.0572,0.146,0.13609,0.146,0.03452,0.146,0.22387,0.146,0.00493,0.14793,0.146,0.15187
0.148,0.2426,0.148,0.05523,0.148,0.143,0.148,0.0355,0.148,0.22189,0.148,0,0.15779,0.148,0.14793
0.15,0.25247,0.15,0.0572,0.15,0.13412,0.15,0.02959,0.15,0.22781,0.15,0,0.16075,0.15,0.14201
0.152,0.24753,0.152,0.06213,0.152,0.13511,0.152,0.03452,0.152,0.22485,0.152,0,0.143,0.152,0.1568
0.154,0.2288,0.154,0.06607,0.154,0.13807,0.154,0.04043,0.154,0.22189,0.154,0,0.1499,0.154,0.15878
