title,p27 - MD results - multiple x,,,,,,
plot_type,grid-line,,,,,,
x_label,Time (ns),,,,,,
color,#000000,,#FD5200,,#0000FF,,#FF8000
label,Radius of Gyration,,Surface Area,,PA,,EHSS
y_labels,Rg (AA),,SASA (A^2),,CCS (A^2),,CCS (A^2)
label_unit,A,,A2,,A2,,A2
axis_x,axis_y,axis_x,axis_y,axis_x,axis_y,axis_x,axis_y
0.418,31.652,0.418,25014.0123,0.418,4725.56,0.418,6225.03
0.42,31.6235,0.42,24748.0565,0.42,4721.19,0.42,6210.74
0.422,31.6125,0.422,24485.1887,0.422,4721.06,0.422,6215.38
0.424,31.5332,0.424,24681.0904,0.424,4722.26,0.424,6221.79
0.426,31.4941,0.426,24494.6977,0.426,4712.5,0.426,6210.92
0.428,31.5769,0.428,24429.604,0.428,4721.06,0.428,6212.19
0.43,31.5992,0.43,24680.2886,0.43,4721.36,0.43,6214.33
0.432,31.6178,0.432,24886.9962,0.432,4727.18,0.432,6227.89
0.434,31.5033,0.434,24175.8241,0.434,4704.11,0.434,6193.78
0.436,31.5471,0.436,24876.8281,0.436,4717.66,0.436,6217.85
0.438,31.4931,0.438,24738.6073,0.438,4700.88,0.438,6190.54
0.44,31.5062,0.44,24696.6654,0.44,4703.58,0.44,6197.3
0.442,31.666,0.442,25186.9144,0.442,4725.73,0.442,6222.81
0.444,31.6664,0.444,25071.6702,0.444,4720.01,0.444,6219.95
0.446,31.6184,0.446,24829.3749,0.446,4727.68,0.446,6227.2
0.448,31.5642,0.448,24437.426,0.448,4695.23,0.448,6180.34
0.45,31.5559,0.45,24275.6972,0.45,4704.95,0.45,6201.02
0.452,31.5764,0.452,24901.2814,0.452,4717.91,0.452,6216.41
0.454,31.5976,0.454,24938.5236,0.454,4713.51,0.454,6206.58
0.456,31.4808,0.456,24902.0258,0.456,4701.69,0.456,6191.45
0.458,31.4218,0.458,24977.1204,0.458,4701.39,0.458,6192.56
0.46,31.5189,0.46,24753.4314,0.46,4711.8,0.46,6208.92
0.462,31.4945,0.462,24650.3851,0.462,4711.27,0.462,6206.98
0.464,31.4531,0.464,24388.6159,0.464,4698.86,0.464,6181.99
0.466,31.5115,0.466,24862.7033,0.466,4713.71,0.466,6207.07
0.468,31.5513,0.468,24796.0039,0.468,4711.81,0.468,6199.51
0.47,31.5402,0.47,24716.3027,0.47,4710.85,0.47,6206.06
0.472,31.4951,0.472,24062.0509,0.472,4698.49,0.472,6185.54
0.474,31.5009,0.474,24201.573,0.474,4707.76,0.474,6196.92
0.476,31.5546,0.476,24797.9654,0.476,4712.72,0.476,6208.75
0.478,31.456,0.478,24112.0702,0.478,4697.29,0.478,6184.12
0.48,31.4794,0.48,24744.5744,0.48,4707.26,0.48,6198.03
0.482,31.5122,0.482,24643.5226,0.482,4712.76,0.482,6207.73
0.484,31.4493,0.484,24399.46,0.484,4697.23,0.484,6183.63
0.486,31.4407,0.486,24501.5351,0.486,4691.02,0.486,6176.23
0.488,31.4677,0.488,24403.7028,0.488,4697.2,0.488,6187.01
0.49,31.5505,0.49,24271.4363,0.49,4701.4,0.49,6189.87
0.492,31.6003,0.492,24621.9475,0.492,4710.17,0.492,6200.19
0.494,31.5869,0.494,25033.5573,0.494,4723.44,0.494,6227.1
0.496,31.5196,0.496,24695.595,0.496,4696.83,0.496,6182.82
0.498,31.5326,0.498,24872.9771,0.498,4719.67,0.498,6219.14
0.5,31.5096,0.5,24776.4163,0.5,4705.71,0.5,6200.62
0.502,31.4541,0.502,24101.7389,0.502,4685.72,0.502,6167.31
0.504,31.5482,0.504,24312.4032,0.504,4696.02,0.504,6174.94
0.506,31.5419,0.506,25033.8166,0.506,4704.32,0.506,6189.42
0.508,31.5515,0.508,25189.7687,0.508,4723.14,0.508,6212.76
0.51,31.5746,0.51,24459.8021,0.51,4707.16,0.51,6196.09
0.512,31.6144,0.512,24985.4599,0.512,4716.25,0.512,6215.55
0.514,31.5663,0.514,24932.7822,0.514,4719.18,0.514,6215.51
0.516,31.4853,0.516,25080.0076,0.516,4705.57,0.516,6200.92
