title,p27 - MD results,,,
plot_type,grid-line,,,
x_label,Time (ns),,,
color,#000000,#FD5200,#0000FF,#FF8000
label,Radius of Gyration,Surface Area,PA,EHSS
y_labels,Rg (AA),SASA (A^2),CCS (A^2),CCS (A^2)
label_unit,A,A2,A2,A2
axis_x,axis_y,axis_y,axis_y,axis_y
0.326,31.6295,24983.2409,4730.11,6230.8
0.328,31.642,25140.4472,4720.27,6213.64
0.33,31.5701,25258.7884,4711.34,6201.45
0.332,31.6126,25299.6026,4724.97,6226.21
0.334,31.6501,24773.9722,4721.77,6215.08
0.336,31.612,24915.6104,4720.67,6226.05
0.338,31.5642,24854.946,4718.15,6213.03
0.34,31.6624,25080.7925,4727.74,6229.61
0.342,31.7002,25131.149,4731.37,6237.7
0.344,31.6883,24908.0834,4722.72,6217.17
0.346,31.6734,25100.918,4721.83,6218.62
0.348,31.6966,25351.5217,4741.08,6249.92
0.35,31.6851,25039.3615,4728.73,6224.56
0.352,31.6315,25214.7388,4722.01,6222.08
0.354,31.6157,25301.4163,4720.57,6209.61
0.356,31.7054,25071.7972,4726.27,6221.75
0.358,31.7312,25796.6693,4743.36,6250.71
0.36,31.7311,25182.3886,4735.37,6240.89
0.362,31.7758,25244.0933,4741.03,6253.49
0.364,31.7311,24811.8894,4723.04,6216.57
0.366,31.7068,25317.3956,4737.41,6231.67
0.368,31.6738,24829.9179,4728.31,6232.12
0.37,31.6704,24770.1306,4725.63,6227.38
0.372,31.6661,24945.468,4723.26,6218.75
0.374,31.6927,25041.2693,4726.84,6225.93
0.376,31.6018,25296.2207,4728.18,6231.37
0.378,31.5566,24807.2384,4713.56,6211.73
0.38,31.7089,25602.2828,4736.83,6242.4
0.382,31.6396,25368.7988,4721.45,6219.08
0.384,31.5513,24777.9294,4713.98,6211.09
0.386,31.5429,25109.9559,4720.57,6219.03
0.388,31.5455,24892.5118,4718.17,6214.49
0.39,31.6635,24931.1651,4723.48,6219.21
0.392,31.5795,24455.4463,4708.17,6190.69
0.394,31.5198,24900.8815,4701.78,6186.18
0.396,31.5648,25398.5923,4731.96,6235.61
0.398,31.5757,25127.6201,4721.67,6220.27
0.4,31.5508,25125.3006,4726.84,6228.7
0.402,31.5327,25216.215,4710.82,6198.31
0.404,31.527,24508.0795,4709.6,6203.27
0.406,31.5235,24833.4443,4710.59,6208.92
0.408,31.5804,24606.9569,4715.44,6206.95
0.41,31.5567,24803.5211,4725.24,6233.87
0.412,31.5517,24990.0989,4729.98,6231.32
0.414,31.5287,24327.4704,4706.08,6195.78
0.416,31.5517,24666.3146,4703.68,6196.63
0.418,31.652,25014.0123,4725.56,6225.03
0.42,31.6235,24748.0565,4721.19,6210.74
0.422,31.6125,24485.1887,4721.06,6215.38
0.424,31.5332,24681.0904,4722.26,6221.79
0.426,31.4941,24494.6977,4712.5,6210.92
0.428,31.5769,24429.604,4721.06,6212.19
0.43,31.5992,24680.2886,4721.36,6214.33
0.432,31.6178,24886.9962,4727.18,6227.89
0.434,31.5033,24175.8241,4704.11,6193.78
0.436,31.5471,24876.8281,4717.66,6217.85
0.438,31.4931,24738.6073,4700.88,6190.54
0.44,31.5062,24696.6654,4703.58,6197.3
0.442,31.666,25186.9144,4725.73,6222.81
0.444,31.6664,25071.6702,4720.01,6219.95
0.446,31.6184,24829.3749,4727.68,6227.2
0.448,31.5642,24437.426,4695.23,6180.34
0.45,31.5559,24275.6972,4704.95,6201.02
0.452,31.5764,24901.2814,4717.91,6216.41
0.454,31.5976,24938.5236,4713.51,6206.58
0.456,31.4808,24902.0258,4701.69,6191.45
0.458,31.4218,24977.1204,4701.39,6192.56
0.46,31.5189,24753.4314,4711.8,6208.92
0.462,31.4945,24650.3851,4711.27,6206.98
0.464,31.4531,24388.6159,4698.86,6181.99
0.466,31.5115,24862.7033,4713.71,6207.07
0.468,31.5513,24796.0039,4711.81,6199.51
0.47,31.5402,24716.3027,4710.85,6206.06
0.472,31.4951,24062.0509,4698.49,6185.54
0.474,31.5009,24201.573,4707.76,6196.92
0.476,31.5546,24797.9654,4712.72,6208.75
0.478,31.456,24112.0702,4697.29,6184.12
0.48,31.4794,24744.5744,4707.26,6198.03
0.482,31.5122,24643.5226,4712.76,6207.73
0.484,31.4493,24399.46,4697.23,6183.63
0.486,31.4407,24501.5351,4691.02,6176.23
0.488,31.4677,24403.7028,4697.2,6187.01
0.49,31.5505,24271.4363,4701.4,6189.87
0.492,31.6003,24621.9475,4710.17,6200.19
0.494,31.5869,25033.5573,4723.44,6227.1
0.496,31.5196,24695.595,4696.83,6182.82
0.498,31.5326,24872.9771,4719.67,6219.14
0.5,31.5096,24776.4163,4705.71,6200.62
0.502,31.4541,24101.7389,4685.72,6167.31
0.504,31.5482,24312.4032,4696.02,6174.94
0.506,31.5419,25033.8166,4704.32,6189.42
0.508,31.5515,25189.7687,4723.14,6212.76
0.51,31.5746,24459.8021,4707.16,6196.09
0.512,31.6144,24985.4599,4716.25,6215.55
0.514,31.5663,24932.7822,4719.18,6215.51
0.516,31.4853,25080.0076,4705.57,6200.92
0.518,31.4047,24637.9001,4695.55,6181.13
0.52,31.3844,24443.1889,4700.81,6192.12
0.522,31.3763,24752.0587,4684.72,6168.92
0.524,31.413,24321.1832,4680.09,6158.9
0.526,31.4501,24514.4016,4681.43,6160.65
0.528,31.4821,24497.4451,4698.35,6195.57
0.53,31.4159,24412.4537,4688.53,6173.41
