NIST ,intact
4058.16,0.00259
4058.18,0.0013
4058.21,1.92E-04
4058.29,9.61E-05
4058.32,0
4058.35,0
4059.75,0
4059.77,0
4059.8,2.96E-05
4059.83,2.22E-05
4059.91,6.21E-04
4059.97,0.0023
4060,0.00408
4060.02,0.00487
4060.05,0.00339
4060.08,0.00156
4060.11,1.11E-04
4060.19,1.11E-04
4060.22,0
4060.25,0
4060.33,0
4060.36,0
4060.39,2.96E-04
4060.47,9.24E-05
4060.5,0.00426
4060.55,0.00978
4060.58,0.01446
4060.61,0.01289
4060.64,0.00761
4060.67,0.00202
4060.75,0.00179
4060.78,0.00354
4060.81,0.00413
4060.83,0.00289
4060.86,0.00134
4060.89,1.09E-04
4060.97,9.61E-05
4061,0
4061.03,0
4061.25,0
4061.28,0
4061.31,1.40E-04
4061.42,0.00221
4061.48,0.00589
4061.5,0.00936
4061.53,0.00949
4061.56,0.00609
4061.59,0.00238
4061.7,1.55E-04
4061.73,0
4061.75,0
4062.7,0
4062.73,0
4062.76,8.13E-05
4062.84,2.40E-05
4062.87,0.00117
4062.93,0.00269
4062.95,0.00399
4062.98,0.00355
4063.01,0.0021
4063.04,6.62E-04
4063.15,3.70E-05
4063.18,0
4063.21,0
4063.23,0
4063.26,8.13E-05
4063.35,5.17E-05
4063.37,0.00116
4063.43,0.00259
4063.46,0.00379
4063.48,0.00328
4063.51,0.0019
4063.54,5.62E-04
4063.65,2.96E-05
4063.68,0
4063.71,0
4065.75,0
4065.77,0
4065.8,2.96E-05
4065.91,5.32E-04
4065.97,0.0017
4066,0.00288
4066.02,0.00324
4066.05,0.00222
4066.08,0.00119
4066.16,7.36E-04
4066.19,0.00476
4066.22,0.009
4066.25,0.01174
4066.28,0.00848
4066.3,0.00414
4066.33,5.23E-04
4066.42,3.03E-04
4066.44,0
4066.47,0
4067.42,0
4067.45,0
4067.48,2.37E-04
4067.56,3.62E-04
4067.59,0.00325
4067.64,0.00679
4067.67,0.00949
4067.7,0.00747
4067.73,0.00399
4067.76,8.72E-04
4067.92,0.00155
4067.98,0.00379
4068.01,0.0058
4068.04,0.0057
4068.06,0.00296
4068.09,1.35E-04
4068.15,0.00216
4068.17,0.00657
4068.2,0.01026
4068.23,0.00961
4068.26,0.00589
4068.29,0.00207
4068.4,1.26E-04
4068.43,0
4068.45,0
4068.93,0
4068.96,0
4068.99,1.40E-04
4069.1,0.00111
4069.15,0.0048
4069.18,0.00956
4069.21,0.01205
4069.24,0.01222
4069.26,0.00837
4069.29,0.00368
4069.32,4.55E-04
4069.4,4.44E-05
4069.43,5.17E-05
4069.46,0
4069.49,0
4070.63,0
4070.66,0
4070.69,1.48E-04
4070.77,4.62E-05
4070.8,0.00213
4070.86,0.00489
4070.88,0.00723
4070.91,0.00644
4070.94,0.00379
4070.97,0.00119
4071.08,6.65E-05
4071.11,0
4071.13,0
4071.28,0
4071.3,0
4071.33,0.0012
4071.42,0.0024
4071.44,0.01617
4071.5,0.03233
4071.53,0.04401
4071.55,0.03233
4071.58,0.01617
4071.61,0.0024
4071.7,0.0012
4071.72,0
4071.75,0
4072.48,0
4072.5,0
4072.53,2.37E-04
4072.64,0.00355
4072.7,0.00879
4072.73,0.01348
4072.76,0.01291
4072.78,0.00798
4072.81,0.00287
4072.92,1.77E-04
4072.95,0
4072.98,0
4073.01,8.87E-05
4073.09,3.88E-05
4073.12,0.00127
4073.18,0.00289
4073.2,0.00426
4073.23,0.00375
4073.26,0.0022
4073.29,6.76E-04
4073.4,3.70E-05
4073.43,0
4073.45,0
4074.1,0
4074.13,0
4074.15,2.96E-05
4074.26,5.32E-04
4074.32,0.0017
4074.35,0.00288
4074.38,0.00324
4074.4,0.0022
4074.43,0.001
4074.55,0.00111
4074.57,0.00131
4074.6,0.00182
4074.63,0.00371
4074.66,0.00688
4074.68,0.01137
4074.71,0.01537
4074.74,0.01343
4074.77,0.00803
4074.8,0.00268
4074.91,1.48E-04
4074.93,0
4074.96,0
4075.36,0
4075.38,0
4075.41,1.55E-04
4075.49,2.27E-04
4075.52,0.00214
4075.58,0.00449
4075.61,0.0063
4075.63,0.00501
4075.66,0.00269
4075.69,6.10E-04
4075.83,9.76E-04
4075.86,0.00279
4075.89,0.00457
4075.91,0.00486
4075.94,0.00319
4075.97,0.00132
4076.08,8.87E-05
4076.11,0
4076.14,1.70E-04
4076.22,3.53E-04
4076.25,0.00205
4076.31,0.00453
4076.33,0.00704
4076.36,0.0067
4076.39,0.00549
4076.42,0.00417
4076.44,0.002
4076.47,7.04E-04
4076.5,2.96E-04
4076.58,9.61E-05
4076.61,0
4076.64,0
4076.84,0
4076.86,0
4076.89,1.92E-04
4076.98,2.18E-04
4077,0.00268
4077.06,0.00579
4077.09,0.00826
4077.12,0.00682
4077.14,0.00379
4077.17,9.83E-04
4077.26,5.91E-05
4077.28,4.44E-05
4077.31,0
4077.34,0
4077.56,0
4077.59,0
4077.62,2.22E-05
4077.65,2.22E-05
4077.73,4.77E-04
4077.79,0.0018
4077.81,0.00321
4077.84,0.00386
4077.87,0.00269
4077.9,0.00124
4077.93,9.42E-05
4078.01,8.87E-05
4078.04,0
4078.07,0
4078.49,0
4078.51,0
4078.54,1.55E-04
4078.65,0.00229
4078.71,0.00549
4078.74,0.0083
4078.77,0.00772
4078.79,0.00469
4078.82,0.00161
4078.93,9.61E-05
4078.96,0
4078.99,0
4079.35,0
4079.38,0
4079.41,4.81E-04
4079.49,4.62E-04
4079.52,0.00675
4079.58,0.01477
4079.6,0.02125
4079.63,0.01786
4079.66,0.01008
4079.69,0.00276
4079.77,8.13E-05
4079.8,1.33E-04
4079.83,0
4079.86,0
4080.3,0
4080.33,0
4080.36,6.65E-05
4080.44,2.22E-05
4080.47,9.58E-04
4080.53,0.0022
4080.56,0.00324
4080.58,0.00288
4080.61,0.0017
4080.64,5.32E-04
4080.81,5.32E-04
4080.86,0.0017
4080.89,0.00288
4080.92,0.00324
4080.95,0.0022
4080.97,9.58E-04
4081,2.22E-05
4081.09,6.65E-05
4081.11,0
4081.14,0
4081.76,0
4081.79,0
4081.81,8.13E-05
4081.9,5.17E-05
4081.93,0.00116
4081.98,0.00259
4082.01,0.00379
4082.04,0.00328
4082.07,0.0019
4082.09,5.62E-04
4082.18,1.48E-05
4082.26,6.21E-04
4082.32,0.0023
4082.35,0.00408
4082.37,0.00487
4082.4,0.00339
4082.43,0.00156
4082.46,1.11E-04
4082.54,1.11E-04
4082.57,0
4082.6,0
4082.65,0
4082.68,0
4082.71,6.65E-05
4082.82,0.00121
4082.88,0.00175
4082.9,0.00274
4082.93,0.00379
4082.96,0.00513
4082.99,0.00702
4083.02,0.00859
4083.04,0.00644
4083.07,0.00353
4083.1,7.87E-04
4083.18,1.55E-04
4083.21,2.22E-05
4083.24,0
4083.27,0
4083.49,0
4083.52,0
4083.55,2.96E-05
4083.66,5.62E-04
4083.72,0.0019
4083.74,0.0034
4083.77,0.00345
4083.8,0.00211
4083.83,0.00134
4083.86,0.00168
4083.88,0.003
4083.91,0.00453
4083.94,0.00382
4083.97,0.002
4084,4.36E-04
4084.14,6.21E-04
4084.16,0.0023
4084.19,0.00408
4084.22,0.00487
4084.25,0.00339
4084.28,0.00156
4084.3,1.11E-04
4084.39,1.11E-04
4084.42,0
4084.44,0
4085.2,0
4085.23,0
4085.25,3.70E-05
4085.28,5.17E-05
4085.37,8.24E-04
4085.42,0.00319
4085.45,0.00575
4085.48,0.00697
4085.51,0.00489
4085.54,0.00227
4085.56,1.87E-04
4085.65,1.63E-04
4085.68,0
4085.7,0
4085.73,0
4085.76,4.44E-05
4085.87,7.32E-04
4085.93,0.0021
4085.95,0.00343
4085.98,0.00364
4086.01,0.0024
4086.04,9.87E-04
4086.15,6.65E-05
4086.18,0
4086.21,0
4088.11,0
4088.14,0
4088.17,2.74E-04
4088.25,2.70E-04
4088.28,0.00384
4088.33,0.00839
4088.36,0.01205
4088.39,0.0101
4088.42,0.00569
4088.45,0.00155
4088.53,5.17E-05
4088.56,7.39E-05
4088.58,0
4088.61,0
4090.91,0
4090.94,0
4090.97,9.61E-05
4091.05,1.92E-04
4091.08,0.0013
4091.13,0.00259
4091.16,0.00353
4091.19,0.00259
4091.22,0.0013
4091.25,1.92E-04
4091.33,9.61E-05
4091.36,0
4091.38,0
4091.61,0
4091.64,0
4091.67,1.26E-04
4091.75,1.96E-04
4091.78,0.00173
4091.83,0.00359
4091.86,0.00502
4091.89,0.00394
4091.92,0.0021
4091.95,4.51E-04
4092.03,8.13E-05
4092.06,1.48E-05
4092.09,0
4092.11,0
4092.48,0
4092.51,0
4092.53,4.44E-05
4092.56,2.81E-04
4092.65,0.00143
4092.7,0.00679
4092.73,0.0128
4092.76,0.01641
4092.79,0.01178
4092.81,0.00568
4092.84,6.62E-04
4092.93,4.14E-04
4092.95,0
4092.98,0
4093.68,0
4093.71,0
4093.74,4.44E-05
4093.85,5.47E-04
4093.91,0.00105
4093.94,0.00296
4093.96,0.00572
4093.99,0.00839
4094.02,0.01079
4094.05,0.01042
4094.07,0.0065
4094.1,0.00269
4094.22,1.92E-04
4094.24,0
4094.27,0
4095.28,0
4095.31,0
4095.34,1.04E-04
4095.42,6.84E-05
4095.45,0.00147
4095.5,0.00329
4095.53,0.0048
4095.56,0.00415
4095.59,0.0024
4095.62,7.06E-04
4095.73,3.70E-05
4095.76,0
4095.78,0
4098.53,0
4098.56,0
